id:ID(Course),name,department,credits:int,level:int,avgDifficulty:float,avgTimeCommitment:int,termAvailability,instructionModes,tags,visualLearnerSuccess:float,auditoryLearnerSuccess:float,kinestheticLearnerSuccess:float,readingLearnerSuccess:float
CSII 200,Machine Learning,Computer Science,3,200,2,6,Fall;Spring;Summer,In-person;Hybrid,Computer Science;Level-2,0.79,0.73,0.62,0.73
CSUU 100,Fundamentals of Blockchain Technology,Computer Science,3,100,3,6,Fall;Spring,In-person;Online,Computer Science;Level-1;AI;Blockchain,0.76,0.98,0.61,0.68
CSDD 200,Introduction to Programming,Computer Science,3,200,3,8,Fall;Spring;Summer,In-person;Online,Computer Science;Level-2;Intro;Programming,0.96,0.68,0.83,0.76
CSCC 300,Data Science Analysis,Computer Science,1,300,2,6,Fall;Spring;Summer,In-person;Online,Computer Science;Level-3;Data;Analysis;Data Science,0.64,0.6,0.95,0.67
CSLL 300,Human-Computer Interaction Analysis,Computer Science,3,300,3,7,Fall;Spring;Summer,In-person;Online;Hybrid,Computer Science;Level-3;Analysis,0.69,0.79,0.85,0.78
CSYY 200,Natural Language Processing,Computer Science,4,200,3,7,Fall;Spring;Summer,In-person,Computer Science;Level-2,1.0,0.93,0.64,0.98
CSMM 100,Principles of IoT Development,Computer Science,2,100,2,5,Fall;Spring,In-person;Hybrid,Computer Science;Level-1;IoT,0.85,0.92,0.84,0.81
CSDD 100,Introduction to Compiler Design,Computer Science,3,100,2,5,Fall;Spring,In-person,Computer Science;Level-1;Intro;Design;Compiler,1.0,0.7,0.78,0.95
CSLL 100,Principles of Big Data Analytics,Computer Science,3,100,3,6,Fall;Spring;Summer,In-person;Online;Hybrid,Computer Science;Level-1;Data,0.8,0.85,0.74,0.8
CSPP 100,Principles of Blockchain Technology,Computer Science,2,100,3,5,Fall;Spring;Summer,In-person;Online,Computer Science;Level-1;AI;Blockchain,0.95,0.71,0.91,0.98
CSKK 300,Cloud Computing Applications,Computer Science,3,300,4,9,Fall;Spring;Summer,In-person;Online,Computer Science;Level-3;Applications;Cloud,0.9,0.82,1.0,0.64
CSPP 200,Machine Learning,Computer Science,3,200,2,5,Fall;Spring,In-person;Online,Computer Science;Level-2,0.83,0.75,0.84,0.74
CSII 200-7,IoT Development,Computer Science,3,200,4,7,Fall;Spring,In-person,Computer Science;Level-2;IoT,0.94,0.95,0.85,0.61
CSQQ 200,Game Development,Computer Science,3,200,3,7,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-2;Game,0.73,1.0,0.75,0.97
CSJJ 100,Principles of Machine Learning,Computer Science,3,100,3,6,Fall;Spring,In-person;Hybrid,Computer Science;Level-1,0.72,0.86,0.88,0.9
CSEE 200,Web Development,Computer Science,2,200,2,5,Fall;Spring;Summer,In-person;Online,Computer Science;Level-2;Web,0.91,0.97,0.71,0.88
CSOO 300,Edge Computing Applications,Computer Science,2,300,3,9,Fall;Spring,In-person;Online,Computer Science;Level-3;Applications,0.65,0.94,0.76,0.68
CSMM 300,DevOps Methods,Computer Science,1,300,3,7,Fall;Spring,In-person;Online,Computer Science;Level-3;Methods,0.82,0.73,0.66,0.88
CSLL 400,Advanced Software Testing,Computer Science,3,400,2,8,Fall;Spring,In-person;Online,Computer Science;Level-4;Advanced,0.96,0.92,0.78,0.92
CSNN 100,Fundamentals of Software Engineering,Computer Science,3,100,2,6,Fall;Spring;Summer,In-person;Online,Computer Science;Level-1,0.62,0.77,0.61,0.78
CSJJ 200,Machine Learning,Computer Science,1,200,3,6,Fall;Spring,In-person,Computer Science;Level-2,0.95,0.66,0.88,0.69
CSTT 300,Software Testing I,Computer Science,3,300,3,8,Fall;Spring,In-person;Hybrid,Computer Science;Level-3,0.61,0.72,0.99,0.61
CSMM 100-8,Basic Game Development,Computer Science,2,100,3,5,Fall;Spring,In-person,Computer Science;Level-1;Game,0.9,1.0,0.81,0.74
CSHH 300,Web Development Applications,Computer Science,3,300,4,10,Fall;Spring,In-person,Computer Science;Level-3;Applications;Web,0.96,0.96,0.78,0.91
CSYY 300,Programming Languages Theory,Computer Science,2,300,2,6,Fall;Spring;Summer,In-person,Computer Science;Level-3;Programming;Theory,0.96,1.0,0.6,0.95
CSUU 100-3,Fundamentals of Distributed Systems,Computer Science,3,100,4,7,Fall;Spring;Summer,In-person;Online;Hybrid,Computer Science;Level-1;Systems;Distributed,0.61,0.72,0.81,0.98
CSMM 100-1,Introduction to Mobile Computing,Computer Science,2,100,3,5,Fall;Spring,In-person;Online,Computer Science;Level-1;Intro;Mobile,0.98,0.79,0.61,0.6
CSOO 200,Software Engineering,Computer Science,3,200,5,10,Fall;Spring,In-person;Online,Computer Science;Level-2,0.81,0.86,0.75,0.94
CSNN 300,Artificial Intelligence Applications,Computer Science,3,300,3,9,Fall;Spring,In-person;Online,Computer Science;Level-3;Applications,0.74,0.84,0.69,0.79
CSFF 200,IoT Development,Computer Science,3,200,3,7,Fall;Spring,In-person;Online,Computer Science;Level-2;IoT,0.74,0.82,0.91,0.82
CSLL 100-1,Introduction to Quantum Computing,Computer Science,3,100,3,7,Fall;Spring,In-person,Computer Science;Level-1;Intro,0.76,0.65,0.92,0.87
CSAA 100,Basic Compiler Design,Computer Science,3,100,2,4,Fall;Spring,In-person,Computer Science;Level-1;Design;Compiler,1.0,0.83,0.73,0.67
CSPP 300,Web Development Analysis,Computer Science,1,300,2,7,Fall;Spring;Summer,In-person;Online;Hybrid,Computer Science;Level-3;Analysis;Web,0.73,0.82,0.74,0.8
CSRR 100,Principles of Natural Language Processing,Computer Science,3,100,4,6,Fall;Spring,In-person;Online,Computer Science;Level-1,0.7,0.66,0.97,0.99
CSTT 300-2,Operating Systems I,Computer Science,3,300,3,7,Fall;Spring,In-person,Computer Science;Level-3;Systems,0.79,0.93,0.7,0.88
CSRR 300,Cloud Computing Analysis,Computer Science,3,300,5,9,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-3;Analysis;Cloud,0.65,0.86,0.91,0.66
CSYY 400,Special Topics in Database Systems,Computer Science,1,400,2,9,Fall;Spring,In-person,Computer Science;Level-4;Data;Systems,0.7,0.6,0.82,0.81
CSYY 200-9,Big Data Analytics,Computer Science,3,200,3,8,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-2;Data,0.95,0.67,0.63,0.93
CSPP 200-1,Cloud Computing,Computer Science,3,200,1,4,Fall;Spring,In-person;Hybrid,Computer Science;Level-2;Cloud,0.99,0.8,0.74,0.79
CSII 400,Topics in Computer Graphics,Computer Science,3,400,1,8,Fall;Spring,In-person;Hybrid,Computer Science;Level-4,0.8800000000000001,0.6,0.73,0.69
